Id,Gender,Age,daily routine,Living Environment,Cooking at Home,pet owner,Smoking,Sociable,hobbies & activities,communication method,important roommate qualities,study habits,physical exercise
3143,Female,18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,Reading,Text,Respectful,collaborative,Rarely (once a month or less)
3144,Female,21,Night Owl,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Music, Outdoor Activities",In-person,Quiet,quiet and focused,Rarely (once a month or less)
3145,Female,20,Night Owl,Balanced,Occasionally,yes,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",Text,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3146,Female,20,Balanced Throughout the Day,Quiet,Regularly,no,Non-Smoker,Open to Socializing,Movies/TV,In-person,Cleanliness,quiet and focused,
3147,Female,18,Balanced Throughout the Day,Lively,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3148,Female,< 18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,collaborative,Rarely (once a month or less)
3149,Female,18,Early Riser,Quiet,Occasionally,yes,Non-Smoker,Prefer Privacy,Reading,In-person,Respectful,quiet and focused,Never
3150,Female,< 18,Early Riser,Quiet,Rarely,no,Non-Smoker,Open to Socializing,Reading,In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3151,Female,< 18,Night Owl,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities",In-person,Respectful,collaborative,Rarely (once a month or less)
3152,Female,< 18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV, Outdoor Activities",In-person,Friendly,quiet and focused,Occasionally (1-2 times a month)
3153,Female,18,Early Riser,Balanced,Occasionally,yes,Non-Smoker,Open to Socializing,"Reading, Gaming",In-person,Respectful,quiet and focused,Regularly (1-2 times a week)
3154,Female,< 18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,Sports,In-person,Friendly,collaborative,Very frequently (5 or more times a week)
3155,Female,18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,Reading,In-person,Responsible,prefer background noise,Rarely (once a month or less)
3156,Female,< 18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Sports, Music, Movies/TV, Outdoor Activities",In-person,Respectful,prefer background noise,Frequently (3-4 times a week)
3157,Male,18,Balanced Throughout the Day,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,"Reading, Music, Movies/TV",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3158,Female,< 18,Balanced Throughout the Day,Quiet,Regularly,no,Non-Smoker,Prefer Privacy,"Reading, Music, Gaming",Text,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3159,Female,18,Early Riser,Lively,Occasionally,yes,Non-Smoker,Prefer Privacy,Music,In-person,Cleanliness,collaborative,Never
3160,Female,< 18,Balanced Throughout the Day,Balanced,Regularly,yes,Non-Smoker,Prefer Privacy,"Reading, Music",Text,Quiet,quiet and focused,Rarely (once a month or less)
3161,Female,< 18,Balanced Throughout the Day,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,Music,Text,Cleanliness,quiet and focused,Rarely (once a month or less)
3162,Female,18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Music, Movies/TV",In-person,Respectful,prefer background noise,Rarely (once a month or less)
3163,Female,18,Night Owl,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Music, Movies/TV, Gaming",In-person,Friendly,collaborative,Rarely (once a month or less)
3164,Female,< 18,Balanced Throughout the Day,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,"Sports, Movies/TV",In-person,Cleanliness,prefer background noise,Rarely (once a month or less)
3165,Female,18,Balanced Throughout the Day,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,"Sports, Music, Movies/TV",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3166,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,Movies/TV,In-person,Respectful,collaborative,Rarely (once a month or less)
3167,Female,19,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Music, Movies/TV",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3168,Female,< 18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV",In-person,Respectful,collaborative,Regularly (1-2 times a week)
3169,Female,< 18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,Movies/TV,Text,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3170,Female,< 18,Early Riser,Lively,Rarely,no,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,quiet and focused,Very frequently (5 or more times a week)
3171,Female,18,Early Riser,Quiet,Rarely,yes,Non-Smoker,Prefer Privacy,Music,In-person,Cleanliness,collaborative,Frequently (3-4 times a week)
3172,Female,< 18,Balanced Throughout the Day,Quiet,Regularly,yes,Non-Smoker,Open to Socializing,"Reading, Music, Movies/TV, Outdoor Activities",In-person,Respectful,collaborative,Rarely (once a month or less)
3173,Female,< 18,Early Riser,Quiet,Rarely,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,collaborative,Occasionally (1-2 times a month)
3174,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,Sports,Text,Quiet,quiet and focused,Occasionally (1-2 times a month)
3175,Female,18,Early Riser,Lively,Regularly,no,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities",In-person,Friendly,quiet and focused,Rarely (once a month or less)
3176,Female,< 18,Balanced Throughout the Day,Balanced,Regularly,yes,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV, Outdoor Activities",Text,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3177,Female,18,Balanced Throughout the Day,Balanced,Occasionally,yes,Non-Smoker,Open to Socializing,Sports,In-person,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3178,Female,< 18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,quiet and focused,Rarely (once a month or less)
3179,Female,18,Balanced Throughout the Day,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3180,Female,18,Night Owl,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",Text,Friendly,prefer background noise,Never
3181,Female,< 18,Early Riser,Balanced,Regularly,yes,Non-Smoker,Prefer Privacy,"Reading, Music, Outdoor Activities",In-person,Cleanliness,prefer background noise,Occasionally (1-2 times a month)
3182,Female,< 18,Balanced Throughout the Day,Lively,Rarely,no,Non-Smoker,Open to Socializing,Reading,In-person,Quiet,quiet and focused,Occasionally (1-2 times a month)
3183,Female,18,Night Owl,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Movies/TV, Gaming",In-person,Respectful,collaborative,Never
3184,Female,18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Gaming",In-person,Respectful,quiet and focused,Rarely (once a month or less)
3185,Female,< 18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,Movies/TV,Text,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3186,Female,< 18,Night Owl,Lively,Occasionally,yes,Non-Smoker,Prefer Privacy,"Music, Outdoor Activities",In-person,Cleanliness,collaborative,Rarely (once a month or less)
3187,Female,< 18,Balanced Throughout the Day,Quiet,Occasionally,no,Non-Smoker,Open to Socializing,Sports,In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3188,Female,< 18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities",In-person,Friendly,quiet and focused,Never
3189,Female,18,Night Owl,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",In-person,Respectful,quiet and focused,Never
3190,Female,< 18,Balanced Throughout the Day,Quiet,Occasionally,no,Non-Smoker,Open to Socializing,"Reading, Music",In-person,Respectful,collaborative,Regularly (1-2 times a week)
3191,Female,18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,Music,In-person,Friendly,quiet and focused,Frequently (3-4 times a week)
3192,Female,18,Early Riser,Quiet,Regularly,no,Non-Smoker,Prefer Privacy,"Reading, Outdoor Activities",In-person,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3193,Female,18,Early Riser,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Sports",In-person,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3194,Female,18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,Music,In-person,Friendly,collaborative,Rarely (once a month or less)
3195,Female,< 18,Early Riser,Quiet,Occasionally,no,Non-Smoker,Open to Socializing,Music,In-person,Cleanliness,collaborative,Rarely (once a month or less)
3196,Female,< 18,Early Riser,Balanced,Rarely,yes,Non-Smoker,Prefer Privacy,"Reading, Sports, Movies/TV",In-person,Respectful,quiet and focused,Rarely (once a month or less)
3197,Female,< 18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music",In-person,Respectful,quiet and focused,Rarely (once a month or less)
3198,Female,18,Balanced Throughout the Day,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV, Gaming",In-person,Responsible,quiet and focused,Never
3199,Female,18,Early Riser,Quiet,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,collaborative,Frequently (3-4 times a week)
3200,Female,< 18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,Sports,In-person,Respectful,quiet and focused,Regularly (1-2 times a week)
3201,Female,18,Balanced Throughout the Day,Quiet,Rarely,yes,Non-Smoker,Prefer Privacy,Outdoor Activities,In-person,Respectful,quiet and focused,Rarely (once a month or less)
3202,Female,< 18,Balanced Throughout the Day,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,"Music, Movies/TV, Gaming",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3203,Female,< 18,Early Riser,Lively,Rarely,no,Non-Smoker,Prefer Privacy,"Sports, Music, Movies/TV, Outdoor Activities",In-person,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3204,Female,18,Balanced Throughout the Day,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,Outdoor Activities,In-person,Respectful,quiet and focused,Rarely (once a month or less)
3205,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Music",Text,Friendly,quiet and focused,Rarely (once a month or less)
3206,Female,18,Night Owl,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,"Movies/TV, Gaming",Text,Responsible,collaborative,Never
3207,Female,< 18,Balanced Throughout the Day,Lively,Rarely,no,Non-Smoker,Open to Socializing,Reading,In-person,Respectful,prefer background noise,Regularly (1-2 times a week)
3208,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",Text,Respectful,quiet and focused,Frequently (3-4 times a week)
3209,Female,< 18,Balanced Throughout the Day,Lively,Occasionally,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,prefer background noise,Occasionally (1-2 times a month)
3210,Female,18,Early Riser,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Sports",In-person,Responsible,quiet and focused,Regularly (1-2 times a week)
3211,Female,< 18,Early Riser,Quiet,Occasionally,no,Non-Smoker,Open to Socializing,"Reading, Music, Movies/TV, Outdoor Activities",In-person,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3212,Female,< 18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,Sports,In-person,Cleanliness,collaborative,Occasionally (1-2 times a month)
3213,Female,< 18,Night Owl,Balanced,Rarely,yes,Non-Smoker,Prefer Privacy,Movies/TV,In-person,Friendly,collaborative,Rarely (once a month or less)
3214,Female,18,Balanced Throughout the Day,Lively,Rarely,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Outdoor Activities",In-person,Cleanliness,prefer background noise,Occasionally (1-2 times a month)
3215,Female,>22,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",In-person,Friendly,quiet and focused,Rarely (once a month or less)
3216,Female,18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,"Music, Movies/TV, Outdoor Activities, Gaming",In-person,Respectful,prefer background noise,Regularly (1-2 times a week)
3217,Male,< 18,Early Riser,Lively,Rarely,no,Non-Smoker,Open to Socializing,Outdoor Activities,In-person,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3218,Male,< 18,Early Riser,Lively,Occasionally,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,collaborative,Regularly (1-2 times a week)
3219,Female,18,Balanced Throughout the Day,Lively,Rarely,no,Non-Smoker,Open to Socializing,Sports,In-person,Friendly,collaborative,Rarely (once a month or less)
3220,Male,18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Sports, Outdoor Activities",In-person,Respectful,quiet and focused,Very frequently (5 or more times a week)
3221,Female,< 18,Night Owl,Lively,Occasionally,no,Non-Smoker,Open to Socializing,Reading,In-person,Quiet,quiet and focused,Never
3222,Female,< 18,Balanced Throughout the Day,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Music, Movies/TV",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3223,Male,< 18,Early Riser,Lively,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Movies/TV, Outdoor Activities, Gaming",In-person,Respectful,collaborative,Occasionally (1-2 times a month)
3224,Male,< 18,Night Owl,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Music, Gaming",Text,Quiet,prefer background noise,Regularly (1-2 times a week)
3225,Male,< 18,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Music, Outdoor Activities",In-person,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3226,Female,< 18,Night Owl,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Music, Movies/TV",In-person,Cleanliness,quiet and focused,Never
3227,Male,18,Balanced Throughout the Day,Quiet,Rarely,yes,Non-Smoker,Prefer Privacy,"Sports, Music, Movies/TV, Gaming",In-person,Quiet,quiet and focused,Rarely (once a month or less)
3228,Female,< 18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities",In-person,Cleanliness,quiet and focused,Never
3229,Male,18,Early Riser,Balanced,Rarely,yes,Non-Smoker,Open to Socializing,"Sports, Gaming",In-person,Respectful,collaborative,Occasionally (1-2 times a month)
3230,Male,18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports, Movies/TV, Gaming",In-person,Respectful,quiet and focused,Rarely (once a month or less)
3231,Male,18,Early Riser,Balanced,Occasionally,yes,Non-Smoker,Prefer Privacy,"Reading, Sports, Movies/TV, Gaming",Text,Respectful,collaborative,Frequently (3-4 times a week)
3232,Male,18,Balanced Throughout the Day,Quiet,Rarely,yes,Smoker,Open to Socializing,"Sports, Outdoor Activities, Gaming",In-person,Cleanliness,quiet and focused,Very frequently (5 or more times a week)
3233,Male,18,Night Owl,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,Gaming,In-person,Friendly,quiet and focused,Occasionally (1-2 times a month)
3234,Male,< 18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,Sports,In-person,Friendly,collaborative,Very frequently (5 or more times a week)
3235,Male,< 18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Music, Gaming",In-person,Friendly,quiet and focused,Frequently (3-4 times a week)
3236,Male,18,Balanced Throughout the Day,Quiet,Regularly,no,Non-Smoker,Open to Socializing,"Sports, Outdoor Activities, Gaming",Text,Friendly,collaborative,Regularly (1-2 times a week)
3237,Female,18,Night Owl,Balanced,Regularly,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV, Outdoor Activities",In-person,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3238,Female,< 18,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,Outdoor Activities,In-person,Cleanliness,prefer background noise,Very frequently (5 or more times a week)
3239,Male,18,Night Owl,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Music",Text,Friendly,quiet and focused,Rarely (once a month or less)
3240,Male,18,Night Owl,Balanced,Regularly,yes,Non-Smoker,Prefer Privacy,"Sports, Music, Outdoor Activities, Gaming",In-person,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3241,Female,18,Night Owl,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities",Text,Respectful,quiet and focused,Rarely (once a month or less)
3242,Female,18,Night Owl,Quiet,Regularly,no,Non-Smoker,Prefer Privacy,Movies/TV,Text,Responsible,quiet and focused,Rarely (once a month or less)
3243,Female,18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,Movies/TV,In-person,Cleanliness,collaborative,Rarely (once a month or less)
3244,Male,18,Balanced Throughout the Day,Lively,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Gaming",Text,Cleanliness,collaborative,Frequently (3-4 times a week)
3245,Male,< 18,Early Riser,Quiet,Occasionally,yes,Non-Smoker,Prefer Privacy,"Music, Movies/TV, Outdoor Activities",Text,Friendly,quiet and focused,Rarely (once a month or less)
3246,Female,18,Early Riser,Balanced,Occasionally,yes,Non-Smoker,Open to Socializing,Movies/TV,Text,Cleanliness,collaborative,Rarely (once a month or less)
3247,Male,< 18,Night Owl,Lively,Rarely,yes,Non-Smoker,Open to Socializing,"Sports, Music, Gaming",Text,Friendly,collaborative,Regularly (1-2 times a week)
3248,Male,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV, Gaming",In-person,Friendly,quiet and focused,Occasionally (1-2 times a month)
3249,Female,< 18,Balanced Throughout the Day,Lively,Rarely,yes,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",Text,Cleanliness,quiet and focused,Never
3250,Male,18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3251,Male,< 18,Night Owl,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,"Sports, Music",In-person,Responsible,quiet and focused,Rarely (once a month or less)
3252,Female,18,Balanced Throughout the Day,Quiet,Occasionally,yes,Non-Smoker,Prefer Privacy,Reading,In-person,Respectful,quiet and focused,Occasionally (1-2 times a month)
3253,Male,< 18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3254,Male,< 18,Early Riser,Quiet,Regularly,no,Non-Smoker,Open to Socializing,Sports,In-person,Friendly,collaborative,Frequently (3-4 times a week)
3255,Male,18,Balanced Throughout the Day,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,Sports,In-person,Cleanliness,quiet and focused,Very frequently (5 or more times a week)
3256,Female,< 18,Early Riser,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,quiet and focused,Occasionally (1-2 times a month)
3257,Male,< 18,Night Owl,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Movies/TV, Gaming",In-person,Respectful,quiet and focused,Frequently (3-4 times a week)
3258,Female,< 18,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV",In-person,Respectful,collaborative,Rarely (once a month or less)
3259,Male,< 18,Night Owl,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,"Sports, Outdoor Activities, Gaming",In-person,Friendly,quiet and focused,Regularly (1-2 times a week)
3260,Female,18,Early Riser,Lively,Rarely,no,Non-Smoker,Open to Socializing,"Music, Outdoor Activities",Text,Cleanliness,quiet and focused,Rarely (once a month or less)
3261,Male,< 18,Balanced Throughout the Day,Lively,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Outdoor Activities, Gaming",In-person,Friendly,collaborative,Regularly (1-2 times a week)
3262,Female,< 18,Night Owl,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",Text,Respectful,prefer background noise,Rarely (once a month or less)
3263,Female,< 18,Night Owl,Quiet,Rarely,yes,Non-Smoker,Prefer Privacy,Music,Text,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3264,Female,< 18,Balanced Throughout the Day,Lively,Rarely,yes,Non-Smoker,Prefer Privacy,"Music, Gaming",In-person,Cleanliness,collaborative,Occasionally (1-2 times a month)
3265,Male,< 18,Night Owl,Balanced,Rarely,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Movies/TV, Gaming",In-person,Respectful,collaborative,Rarely (once a month or less)
3266,Female,< 18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Movies/TV, Gaming",In-person,Cleanliness,collaborative,Rarely (once a month or less)
3267,Male,18,Early Riser,Lively,Occasionally,no,Smoker,Prefer Privacy,"Outdoor Activities, Gaming",In-person,Cleanliness,prefer background noise,Rarely (once a month or less)
3268,Male,18,Early Riser,Quiet,Regularly,yes,Non-Smoker,Prefer Privacy,"Sports, Music, Gaming",Text,Respectful,quiet and focused,Frequently (3-4 times a week)
3269,Male,< 18,Balanced Throughout the Day,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities",In-person,Friendly,quiet and focused,Occasionally (1-2 times a month)
3270,Male,< 18,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Gaming",Text,Respectful,collaborative,Very frequently (5 or more times a week)
3271,Male,18,Early Riser,Lively,Regularly,no,Non-Smoker,Prefer Privacy,Sports,Text,Quiet,quiet and focused,Very frequently (5 or more times a week)
3272,Female,18,Balanced Throughout the Day,Balanced,Rarely,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Movies/TV, Outdoor Activities",In-person,Cleanliness,collaborative,Frequently (3-4 times a week)
3273,Male,< 18,Balanced Throughout the Day,Lively,Rarely,yes,Non-Smoker,Open to Socializing,Gaming,In-person,Respectful,collaborative,Rarely (once a month or less)
3274,Female,< 18,Balanced Throughout the Day,Lively,Occasionally,yes,Non-Smoker,Prefer Privacy,"Sports, Movies/TV, Outdoor Activities",In-person,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3275,Male,< 18,Balanced Throughout the Day,Quiet,Rarely,no,Non-Smoker,Open to Socializing,Outdoor Activities,In-person,Respectful,collaborative,Rarely (once a month or less)
3276,Female,18,Balanced Throughout the Day,Lively,Rarely,no,Non-Smoker,Prefer Privacy,"Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3277,Female,< 18,Night Owl,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,Reading,Text,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3278,Female,< 18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Sports, Music",Text,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3279,Male,< 18,Early Riser,Quiet,Rarely,yes,Non-Smoker,Open to Socializing,"Sports, Music, Gaming",In-person,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3280,Male,18,Balanced Throughout the Day,Lively,Occasionally,no,Non-Smoker,Open to Socializing,Sports,In-person,Respectful,collaborative,Regularly (1-2 times a week)
3281,Male,< 18,Balanced Throughout the Day,Lively,Rarely,no,Non-Smoker,Open to Socializing,Gaming,In-person,Cleanliness,prefer background noise,Frequently (3-4 times a week)
3282,Female,18,Early Riser,Balanced,Rarely,yes,Non-Smoker,Prefer Privacy,Reading,In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3283,Male,< 18,Balanced Throughout the Day,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Outdoor Activities, Gaming",In-person,Respectful,quiet and focused,Regularly (1-2 times a week)
3284,Female,< 18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Music, Movies/TV",In-person,Respectful,quiet and focused,Never
