Id,Gender,Age,daily routine,Living Environment,Cooking at Home,pet owner,Smoking,Sociable,hobbies & activities,communication method,important roommate qualities,study habits,physical exercise
3285,Male,18,Balanced Throughout the Day,Balanced,Regularly,yes,Non-Smoker,Open to Socializing,"Sports, Music, Outdoor Activities, Gaming",In-person,Cleanliness,collaborative,Occasionally (1-2 times a month)
3286,Male,19,Balanced Throughout the Day,Lively,Regularly,no,Non-Smoker,Open to Socializing,Sports,In-person,Cleanliness,collaborative,Very frequently (5 or more times a week)
3287,Male,< 18,Early Riser,Lively,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Movies/TV, Gaming",In-person,Respectful,collaborative,Frequently (3-4 times a week)
3288,Female,< 18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Outdoor Activities",In-person,Cleanliness,collaborative,Regularly (1-2 times a week)
3289,Female,18,Early Riser,Balanced,Rarely,yes,Non-Smoker,Prefer Privacy,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Respectful,collaborative,Rarely (once a month or less)
3290,Male,18,Balanced Throughout the Day,Lively,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities",In-person,Cleanliness,collaborative,Regularly (1-2 times a week)
3291,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Music",In-person,Respectful,quiet and focused,Rarely (once a month or less)
3292,Female,< 18,Night Owl,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Music, Movies/TV, Outdoor Activities",In-person,Friendly,quiet and focused,Rarely (once a month or less)
3293,Male,18,Early Riser,Lively,Regularly,no,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3294,Female,< 18,Balanced Throughout the Day,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Music",Text,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3295,Female,< 18,Night Owl,Balanced,Regularly,no,Non-Smoker,Prefer Privacy,"Reading, Sports, Music, Outdoor Activities",In-person,Cleanliness,collaborative,Occasionally (1-2 times a month)
3296,Male,18,Early Riser,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,Sports,Text,Respectful,collaborative,Rarely (once a month or less)
3297,Male,18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities, Gaming",Text,Friendly,quiet and focused,Never
3298,Male,< 18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Sports, Music, Outdoor Activities, Gaming",In-person,Cleanliness,prefer background noise,Never
3299,Female,< 18,Balanced Throughout the Day,Balanced,Rarely,yes,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",In-person,Friendly,quiet and focused,Rarely (once a month or less)
3300,Female,< 18,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Movies/TV",In-person,Respectful,quiet and focused,Rarely (once a month or less)
3301,Male,< 18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,"Music, Gaming",In-person,Friendly,prefer background noise,Occasionally (1-2 times a month)
3302,Female,< 18,Balanced Throughout the Day,Quiet,Regularly,no,Non-Smoker,Open to Socializing,"Music, Movies/TV",In-person,Quiet,quiet and focused,Rarely (once a month or less)
3303,Male,18,Balanced Throughout the Day,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",Text,Quiet,quiet and focused,Occasionally (1-2 times a month)
3304,Male,< 18,Early Riser,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Music",Text,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3305,Female,18,Night Owl,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Music",In-person,Respectful,collaborative,Rarely (once a month or less)
3306,Female,< 18,Balanced Throughout the Day,Lively,Occasionally,no,Non-Smoker,Open to Socializing,Sports,In-person,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3307,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Sports, Music",In-person,Respectful,quiet and focused,Occasionally (1-2 times a month)
3308,Female,18,Early Riser,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,Gaming,In-person,Respectful,quiet and focused,Rarely (once a month or less)
3309,Male,< 18,Early Riser,Lively,Rarely,no,Non-Smoker,Prefer Privacy,"Sports, Outdoor Activities",In-person,Respectful,quiet and focused,Frequently (3-4 times a week)
3310,Male,18,Balanced Throughout the Day,Quiet,Regularly,no,Non-Smoker,Prefer Privacy,"Sports, Music, Outdoor Activities",In-person,Responsible,collaborative,Very frequently (5 or more times a week)
3311,Female,< 18,Night Owl,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Movies/TV",In-person,Responsible,quiet and focused,Rarely (once a month or less)
3312,Male,< 18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,Sports,In-person,Respectful,quiet and focused,Regularly (1-2 times a week)
3313,Male,18,Early Riser,Lively,Regularly,no,Non-Smoker,Prefer Privacy,"Sports, Music, Gaming",In-person,Respectful,quiet and focused,Very frequently (5 or more times a week)
3314,Male,< 18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,"Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,collaborative,Regularly (1-2 times a week)
3315,Male,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Sports, Music, Movies/TV",In-person,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3316,Female,18,Early Riser,Balanced,Regularly,no,Non-Smoker,Prefer Privacy,"Music, Movies/TV, Gaming",In-person,Friendly,quiet and focused,Rarely (once a month or less)
3317,Male,18,Night Owl,Lively,Regularly,yes,Smoker,Open to Socializing,"Outdoor Activities, Gaming",Text,Cleanliness,collaborative,Occasionally (1-2 times a month)
3318,Male,18,Balanced Throughout the Day,Balanced,Rarely,no,Smoker,Open to Socializing,Sports,In-person,Cleanliness,collaborative,Frequently (3-4 times a week)
3319,Female,18,Early Riser,Lively,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Movies/TV, Outdoor Activities",In-person,Respectful,prefer background noise,Rarely (once a month or less)
3320,Male,18,Early Riser,Lively,Occasionally,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Outdoor Activities, Gaming",In-person,Cleanliness,prefer background noise,Frequently (3-4 times a week)
3321,Female,18,Early Riser,Lively,Occasionally,yes,Non-Smoker,Prefer Privacy,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",Text,Friendly,quiet and focused,Regularly (1-2 times a week)
3322,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Open to Socializing,Outdoor Activities,In-person,Cleanliness,quiet and focused,Never
3323,Male,< 18,Balanced Throughout the Day,Lively,Occasionally,no,Non-Smoker,Prefer Privacy,"Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,collaborative,Rarely (once a month or less)
3324,Female,18,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,collaborative,Rarely (once a month or less)
3325,Female,< 18,Balanced Throughout the Day,Lively,Regularly,no,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV, Outdoor Activities",In-person,Friendly,prefer background noise,Very frequently (5 or more times a week)
3326,Female,< 18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,collaborative,Rarely (once a month or less)
3327,Male,< 18,Night Owl,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Sports, Movies/TV",In-person,Quiet,quiet and focused,Occasionally (1-2 times a month)
3328,Female,18,Night Owl,Lively,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,collaborative,Regularly (1-2 times a week)
3329,Female,18,Night Owl,Lively,Rarely,no,Non-Smoker,Open to Socializing,Reading,In-person,Friendly,quiet and focused,Regularly (1-2 times a week)
3330,Male,< 18,Early Riser,Lively,Occasionally,yes,Non-Smoker,Open to Socializing,Sports,In-person,Respectful,quiet and focused,Very frequently (5 or more times a week)
3331,Male,< 18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,Sports,In-person,Responsible,collaborative,Frequently (3-4 times a week)
3332,Female,18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,Gaming,In-person,Cleanliness,collaborative,Rarely (once a month or less)
3333,Female,18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,collaborative,Rarely (once a month or less)
3334,Male,< 18,Night Owl,Balanced,Rarely,yes,Non-Smoker,Open to Socializing,Music,In-person,Cleanliness,quiet and focused,Very frequently (5 or more times a week)
3335,Female,18,Night Owl,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,Reading,In-person,Respectful,quiet and focused,Rarely (once a month or less)
3336,Female,18,Early Riser,Quiet,Rarely,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Outdoor Activities",In-person,Friendly,collaborative,Occasionally (1-2 times a month)
3337,Female,< 18,Early Riser,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,Movies/TV,In-person,Cleanliness,collaborative,Never
3338,Male,< 18,Night Owl,Lively,Regularly,no,Non-Smoker,Open to Socializing,Outdoor Activities,In-person,Cleanliness,collaborative,Rarely (once a month or less)
3339,Female,< 18,Early Riser,Lively,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Sports, Music, Movies/TV, Outdoor Activities",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3340,Male,18,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV, Gaming",In-person,Friendly,quiet and focused,Regularly (1-2 times a week)
3341,Male,< 18,Balanced Throughout the Day,Lively,Rarely,no,Non-Smoker,Prefer Privacy,Sports,In-person,Cleanliness,quiet and focused,Very frequently (5 or more times a week)
3342,Female,>22,Night Owl,Balanced,Rarely,no,Non-Smoker,Open to Socializing,Outdoor Activities,In-person,Respectful,quiet and focused,Regularly (1-2 times a week)
3343,Female,< 18,Balanced Throughout the Day,Lively,Rarely,yes,Non-Smoker,Open to Socializing,Gaming,In-person,Cleanliness,collaborative,Rarely (once a month or less)
3344,Female,18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities",In-person,Friendly,quiet and focused,Regularly (1-2 times a week)
3345,Female,< 18,Early Riser,Lively,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports",In-person,Respectful,quiet and focused,Frequently (3-4 times a week)
3346,Female,< 18,Night Owl,Lively,Rarely,no,Non-Smoker,Open to Socializing,Music,In-person,Friendly,quiet and focused,Never
3347,Female,< 18,Night Owl,Balanced,Regularly,no,Non-Smoker,Prefer Privacy,Reading,Text,Cleanliness,quiet and focused,Rarely (once a month or less)
3348,Male,< 18,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,Music,In-person,Cleanliness,collaborative,Regularly (1-2 times a week)
3349,Male,< 18,Early Riser,Lively,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Gaming",In-person,Friendly,collaborative,Very frequently (5 or more times a week)
3350,Male,18,Night Owl,Quiet,Occasionally,no,Non-Smoker,Open to Socializing,Sports,In-person,Quiet,collaborative,Frequently (3-4 times a week)
3351,Female,< 18,Night Owl,Quiet,Regularly,no,Non-Smoker,Open to Socializing,Gaming,In-person,Respectful,collaborative,Never
3352,Female,< 18,Early Riser,Lively,Occasionally,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3353,Male,18,Night Owl,Quiet,Occasionally,no,Non-Smoker,Open to Socializing,"Sports, Movies/TV, Gaming",In-person,Responsible,quiet and focused,Rarely (once a month or less)
3354,Male,18,Early Riser,Balanced,Regularly,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Gaming",Text,Respectful,quiet and focused,Occasionally (1-2 times a month)
3355,Female,18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,Sports,In-person,Respectful,collaborative,Regularly (1-2 times a week)
3356,Male,< 18,Early Riser,Lively,Occasionally,no,Non-Smoker,Open to Socializing,"Sports, Music, Outdoor Activities, Gaming",In-person,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3357,Male,< 18,Early Riser,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Sports, Movies/TV, Outdoor Activities",In-person,Respectful,quiet and focused,Rarely (once a month or less)
3358,Female,< 18,Early Riser,Lively,Occasionally,yes,Non-Smoker,Open to Socializing,"Reading, Music, Movies/TV, Gaming",In-person,Responsible,prefer background noise,Very frequently (5 or more times a week)
3359,Female,18,Night Owl,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,collaborative,Rarely (once a month or less)
3360,Male,18,Night Owl,Quiet,Occasionally,yes,Non-Smoker,Prefer Privacy,"Sports, Music, Gaming",Text,Friendly,collaborative,Regularly (1-2 times a week)
3361,Female,18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,Movies/TV,In-person,Respectful,quiet and focused,Never
3362,Male,< 18,Night Owl,Quiet,Regularly,yes,Non-Smoker,Open to Socializing,Sports,In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3363,Female,18,Night Owl,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3364,Female,< 18,Night Owl,Balanced,Regularly,no,Non-Smoker,Open to Socializing,Movies/TV,In-person,Friendly,quiet and focused,Never
3365,Male,< 18,Night Owl,Balanced,Regularly,yes,Non-Smoker,Prefer Privacy,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",Text,Responsible,quiet and focused,Regularly (1-2 times a week)
3366,Male,18,Early Riser,Quiet,Rarely,yes,Non-Smoker,Prefer Privacy,"Sports, Movies/TV, Gaming",In-person,Respectful,quiet and focused,Occasionally (1-2 times a month)
3367,Female,18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Sports, Music, Movies/TV, Outdoor Activities",Text,Respectful,quiet and focused,Frequently (3-4 times a week)
3368,Male,< 18,Night Owl,Quiet,Occasionally,yes,Non-Smoker,Open to Socializing,Music,In-person,Respectful,collaborative,Very frequently (5 or more times a week)
3369,Female,< 18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3370,Male,< 18,Early Riser,Lively,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Movies/TV, Outdoor Activities, Gaming",In-person,Responsible,prefer background noise,Frequently (3-4 times a week)
3371,Female,18,Early Riser,Quiet,Rarely,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV",In-person,Cleanliness,quiet and focused,Very frequently (5 or more times a week)
3372,Male,< 18,Night Owl,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Music, Movies/TV, Gaming",Text,Cleanliness,quiet and focused,Rarely (once a month or less)
3373,Male,18,Night Owl,Balanced,Occasionally,yes,Smoker,Open to Socializing,"Sports, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3374,Male,18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,"Sports, Outdoor Activities",In-person,Cleanliness,collaborative,Frequently (3-4 times a week)
3375,Male,< 18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV, Gaming",In-person,Friendly,quiet and focused,Frequently (3-4 times a week)
3376,Female,< 18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,prefer background noise,Never
3377,Male,18,Night Owl,Quiet,Rarely,no,Non-Smoker,Open to Socializing,Sports,In-person,Cleanliness,collaborative,Very frequently (5 or more times a week)
3378,Male,< 18,Night Owl,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Sports, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,quiet and focused,Regularly (1-2 times a week)
3379,Female,< 18,Early Riser,Lively,Rarely,no,Non-Smoker,Open to Socializing,Sports,Text,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3380,Female,18,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,Sports,In-person,Friendly,quiet and focused,Occasionally (1-2 times a month)
3381,Male,18,Early Riser,Lively,Regularly,yes,Non-Smoker,Prefer Privacy,"Sports, Music",In-person,Cleanliness,quiet and focused,Very frequently (5 or more times a week)
3382,Female,18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,Sports,In-person,Respectful,quiet and focused,Frequently (3-4 times a week)
3383,Female,< 18,Balanced Throughout the Day,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,"Sports, Music, Movies/TV",In-person,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3384,Female,< 18,Night Owl,Balanced,Rarely,yes,Non-Smoker,Prefer Privacy,"Reading, Movies/TV, Gaming",Text,Respectful,quiet and focused,Occasionally (1-2 times a month)
3385,Male,18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Sports, Music, Gaming",In-person,Cleanliness,collaborative,Very frequently (5 or more times a week)
3386,Female,18,Early Riser,Quiet,Rarely,yes,Non-Smoker,Open to Socializing,Sports,In-person,Respectful,collaborative,Occasionally (1-2 times a month)
3387,Female,< 18,Night Owl,Quiet,Regularly,yes,Non-Smoker,Open to Socializing,"Reading, Music, Movies/TV, Gaming",In-person,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3388,Male,< 18,Early Riser,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,Reading,In-person,Friendly,quiet and focused,Rarely (once a month or less)
3389,Female,18,Early Riser,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,Sports,In-person,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3390,Female,< 18,Early Riser,Lively,Occasionally,yes,Non-Smoker,Open to Socializing,Reading,In-person,Friendly,collaborative,Rarely (once a month or less)
3391,Male,18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,"Sports, Outdoor Activities",In-person,Respectful,quiet and focused,Rarely (once a month or less)
3392,Female,< 18,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities",In-person,Cleanliness,collaborative,Never
3393,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,Movies/TV,Text,Quiet,quiet and focused,Never
3394,Female,18,Balanced Throughout the Day,Quiet,Occasionally,yes,Non-Smoker,Prefer Privacy,"Reading, Sports, Music, Gaming",Text,Respectful,collaborative,Rarely (once a month or less)
3395,Female,< 18,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV",In-person,Quiet,prefer background noise,Occasionally (1-2 times a month)
3396,Male,18,Early Riser,Balanced,Regularly,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,collaborative,Very frequently (5 or more times a week)
3397,Female,< 18,Early Riser,Lively,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Respectful,quiet and focused,Regularly (1-2 times a week)
3398,Male,18,Balanced Throughout the Day,Quiet,Regularly,no,Non-Smoker,Open to Socializing,Sports,In-person,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3399,Female,18,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,Reading,Text,Respectful,quiet and focused,Rarely (once a month or less)
3400,Female,< 18,Early Riser,Quiet,Occasionally,no,Non-Smoker,Open to Socializing,"Reading, Music, Gaming",In-person,Cleanliness,collaborative,Never
3401,Male,< 18,Early Riser,Quiet,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Sports",Text,Responsible,collaborative,Regularly (1-2 times a week)
3402,Female,18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,Reading,In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3403,Female,18,Early Riser,Balanced,Rarely,yes,Non-Smoker,Open to Socializing,Movies/TV,In-person,Respectful,quiet and focused,Rarely (once a month or less)
3404,Female,< 18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,Movies/TV,In-person,Quiet,prefer background noise,Never
3405,Male,< 18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,Music,In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3406,Female,18,Early Riser,Balanced,Occasionally,yes,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV",In-person,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3407,Female,18,Early Riser,Quiet,Rarely,yes,Non-Smoker,Open to Socializing,"Movies/TV, Outdoor Activities",In-person,Respectful,quiet and focused,Never
3408,Female,18,Night Owl,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Movies/TV, Outdoor Activities",Text,Cleanliness,quiet and focused,Never
3409,Male,< 18,Early Riser,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Outdoor Activities, Gaming",In-person,Cleanliness,collaborative,Regularly (1-2 times a week)
3410,Male,< 18,Balanced Throughout the Day,Quiet,Regularly,no,Non-Smoker,Prefer Privacy,Movies/TV,Text,Respectful,quiet and focused,Occasionally (1-2 times a month)
3411,Male,18,Balanced Throughout the Day,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Sports, Music",In-person,Cleanliness,collaborative,Very frequently (5 or more times a week)
3412,Female,< 18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Sports, Movies/TV",In-person,Cleanliness,collaborative,Regularly (1-2 times a week)
3413,Female,< 18,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,Music,In-person,Cleanliness,collaborative,Never
3414,Male,18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,collaborative,Regularly (1-2 times a week)
3415,Female,< 18,Night Owl,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Music, Outdoor Activities, Gaming",In-person,Respectful,quiet and focused,Never
3416,Male,< 18,Balanced Throughout the Day,Lively,Occasionally,yes,Non-Smoker,Prefer Privacy,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,prefer background noise,Frequently (3-4 times a week)
3417,Female,< 18,Early Riser,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Sports, Movies/TV, Outdoor Activities",In-person,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3418,Female,18,Early Riser,Balanced,Occasionally,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Movies/TV",In-person,Respectful,quiet and focused,Frequently (3-4 times a week)
3419,Male,< 18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Music, Gaming",Text,Respectful,quiet and focused,Frequently (3-4 times a week)
3420,Male,< 18,Early Riser,Lively,Rarely,no,Non-Smoker,Open to Socializing,Sports,In-person,Respectful,quiet and focused,Regularly (1-2 times a week)
3421,Male,18,Early Riser,Lively,Rarely,no,Non-Smoker,Open to Socializing,Reading,In-person,Quiet,quiet and focused,Occasionally (1-2 times a month)
3422,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Respectful,quiet and focused,Rarely (once a month or less)
3423,Female,< 18,Night Owl,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",Text,Quiet,prefer background noise,Rarely (once a month or less)
3424,Female,18,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Outdoor Activities",Text,Respectful,quiet and focused,Occasionally (1-2 times a month)
3425,Female,18,Early Riser,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,Sports,In-person,Respectful,quiet and focused,Frequently (3-4 times a week)
3426,Male,< 18,Night Owl,Balanced,Occasionally,yes,Non-Smoker,Prefer Privacy,Music,In-person,Cleanliness,collaborative,Occasionally (1-2 times a month)
3427,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",Text,Respectful,quiet and focused,Never
3428,Male,< 18,Balanced Throughout the Day,Lively,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Music, Movies/TV, Outdoor Activities, Gaming",Text,Friendly,collaborative,Very frequently (5 or more times a week)
3429,Female,18,Early Riser,Lively,Regularly,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Gaming",In-person,Respectful,collaborative,Regularly (1-2 times a week)
